CustomerID,Age,Gender,TenureMonths,ContractType,InternetService,PhoneService,StreamingService,MonthlyCharges,TotalCharges,MonthlyUsageGB,SessionsPerMonth,SupportCalls,Complaints,PaymentMethod,PaymentDelayDays,Churn
CUST-10000,56,Male,28,Month-to-Month,DSL,Yes,No,21.33,582.37,450.8,25,1,1,Electronic Check,5,No
CUST-10001,69,Male,5,One Year,Fiber Optic,Yes,No,66.45,324.76,190.1,54,2,1,Electronic Check,3,Yes
CUST-10002,46,Female,21,Month-to-Month,Fiber Optic,Yes,Yes,59.54,1167.5,2.4,48,1,0,Bank Transfer,2,No
CUST-10003,32,Female,18,Month-to-Month,Fiber Optic,Yes,Yes,51.23,901.29,204.1,47,0,0,Credit Card,4,Yes
CUST-10004,60,Male,47,Two Year,Fiber Optic,Yes,No,47.56,2173.31,91.6,41,1,1,Bank Transfer,3,No
CUST-10005,25,Female,70,Month-to-Month,No,Yes,Yes,64.83,4226.37,271.5,51,0,2,Mailed Check,2,No
CUST-10006,38,Female,57,One Year,Fiber Optic,Yes,Yes,59.36,3546.7,245.3,50,2,1,Electronic Check,3,No
CUST-10007,56,Female,19,Month-to-Month,Fiber Optic,Yes,Yes,55.2,1080.09,162.8,53,0,2,Bank Transfer,4,Yes
CUST-10008,36,Female,65,One Year,No,Yes,No,32.53,2184.52,100.1,7,0,1,Bank Transfer,4,No
CUST-10009,40,Male,3,Two Year,Fiber Optic,Yes,No,24.55,73.86,193.2,27,0,1,Electronic Check,6,No
CUST-10010,28,Male,42,Month-to-Month,Fiber Optic,Yes,No,57.79,2242.68,122.3,48,0,0,Mailed Check,2,No
CUST-10011,28,Male,21,One Year,DSL,Yes,No,54.95,1136.89,250.9,47,1,1,Credit Card,1,No
CUST-10012,41,Female,40,Two Year,Fiber Optic,Yes,Yes,60.07,2458.58,230.0,55,3,0,Bank Transfer,5,No
